1	Afghanistan	2006-02-15T04:44:00Z
2	Algeria	2006-02-15T04:44:00Z
3	American Samoa	2006-02-15T04:44:00Z
4	Angola	2006-02-15T04:44:00Z
5	Anguilla	2006-02-15T04:44:00Z
6	Argentina	2006-02-15T04:44:00Z
7	Armenia	2006-02-15T04:44:00Z
8	Australia	2006-02-15T04:44:00Z
9	Austria	2006-02-15T04:44:00Z
10	Azerbaijan	2006-02-15T04:44:00Z
11	Bahrain	2006-02-15T04:44:00Z
12	Bangladesh	2006-02-15T04:44:00Z
13	Belarus	2006-02-15T04:44:00Z
14	Bolivia	2006-02-15T04:44:00Z
15	Brazil	2006-02-15T04:44:00Z
16	Brunei	2006-02-15T04:44:00Z
17	Bulgaria	2006-02-15T04:44:00Z
18	Cambodia	2006-02-15T04:44:00Z
19	Cameroon	2006-02-15T04:44:00Z
20	Canada	2006-02-15T04:44:00Z
21	Chad	2006-02-15T04:44:00Z
22	Chile	2006-02-15T04:44:00Z
23	China	2006-02-15T04:44:00Z
24	Colombia	2006-02-15T04:44:00Z
25	Congo, The Democratic Republic of the	2006-02-15T04:44:00Z
26	Czech Republic	2006-02-15T04:44:00Z
27	Dominican Republic	2006-02-15T04:44:00Z
28	Ecuador	2006-02-15T04:44:00Z
29	Egypt	2006-02-15T04:44:00Z
30	Estonia	2006-02-15T04:44:00Z
31	Ethiopia	2006-02-15T04:44:00Z
32	Faroe Islands	2006-02-15T04:44:00Z
33	Finland	2006-02-15T04:44:00Z
34	France	2006-02-15T04:44:00Z
35	French Guiana	2006-02-15T04:44:00Z
36	French Polynesia	2006-02-15T04:44:00Z
37	Gambia	2006-02-15T04:44:00Z
38	Germany	2006-02-15T04:44:00Z
39	Greece	2006-02-15T04:44:00Z
40	Greenland	2006-02-15T04:44:00Z
41	Holy See (Vatican City State)	2006-02-15T04:44:00Z
42	Hong Kong	2006-02-15T04:44:00Z
43	Hungary	2006-02-15T04:44:00Z
44	India	2006-02-15T04:44:00Z
45	Indonesia	2006-02-15T04:44:00Z
46	Iran	2006-02-15T04:44:00Z
47	Iraq	2006-02-15T04:44:00Z
48	Israel	2006-02-15T04:44:00Z
49	Italy	2006-02-15T04:44:00Z
50	Japan	2006-02-15T04:44:00Z
51	Kazakstan	2006-02-15T04:44:00Z
52	Kenya	2006-02-15T04:44:00Z
53	Kuwait	2006-02-15T04:44:00Z
54	Latvia	2006-02-15T04:44:00Z
55	Liechtenstein	2006-02-15T04:44:00Z
56	Lithuania	2006-02-15T04:44:00Z
57	Madagascar	2006-02-15T04:44:00Z
58	Malawi	2006-02-15T04:44:00Z
59	Malaysia	2006-02-15T04:44:00Z
60	Mexico	2006-02-15T04:44:00Z
61	Moldova	2006-02-15T04:44:00Z
62	Morocco	2006-02-15T04:44:00Z
63	Mozambique	2006-02-15T04:44:00Z
64	Myanmar	2006-02-15T04:44:00Z
65	Nauru	2006-02-15T04:44:00Z
66	Nepal	2006-02-15T04:44:00Z
67	Netherlands	2006-02-15T04:44:00Z
68	New Zealand	2006-02-15T04:44:00Z
69	Nigeria	2006-02-15T04:44:00Z
70	North Korea	2006-02-15T04:44:00Z
71	Oman	2006-02-15T04:44:00Z
72	Pakistan	2006-02-15T04:44:00Z
73	Paraguay	2006-02-15T04:44:00Z
74	Peru	2006-02-15T04:44:00Z
75	Philippines	2006-02-15T04:44:00Z
76	Poland	2006-02-15T04:44:00Z
77	Puerto Rico	2006-02-15T04:44:00Z
78	Romania	2006-02-15T04:44:00Z
79	Réunion	2006-02-15T04:44:00Z
80	Russian Federation	2006-02-15T04:44:00Z
81	Saint Vincent and the Grenadines	2006-02-15T04:44:00Z
82	Saudi Arabia	2006-02-15T04:44:00Z
83	Senegal	2006-02-15T04:44:00Z
84	Slovakia	2006-02-15T04:44:00Z
85	South Africa	2006-02-15T04:44:00Z
86	South Korea	2006-02-15T04:44:00Z
87	Spain	2006-02-15T04:44:00Z
88	Sri Lanka	2006-02-15T04:44:00Z
89	Sudan	2006-02-15T04:44:00Z
90	Sweden	2006-02-15T04:44:00Z
91	Switzerland	2006-02-15T04:44:00Z
92	Taiwan	2006-02-15T04:44:00Z
93	Tanzania	2006-02-15T04:44:00Z
94	Thailand	2006-02-15T04:44:00Z
95	Tonga	2006-02-15T04:44:00Z
96	Tunisia	2006-02-15T04:44:00Z
97	Turkey	2006-02-15T04:44:00Z
98	Turkmenistan	2006-02-15T04:44:00Z
99	Tuvalu	2006-02-15T04:44:00Z
100	Ukraine	2006-02-15T04:44:00Z
101	United Arab Emirates	2006-02-15T04:44:00Z
102	United Kingdom	2006-02-15T04:44:00Z
103	United States	2006-02-15T04:44:00Z
104	Venezuela	2006-02-15T04:44:00Z
105	Vietnam	2006-02-15T04:44:00Z
106	Virgin Islands, U.S.	2006-02-15T04:44:00Z
107	Yemen	2006-02-15T04:44:00Z
108	Yugoslavia	2006-02-15T04:44:00Z
109	Zambia	2006-02-15T04:44:00Z
